state,capital,Pop2020,state flower
Alabama,Montgomery,4918689,Camelia
Alaska,Juneau,727951,Forget Me Not
Arizona,Pheniox,7399410,Saguaro Cactus Blossom
Arkansas,Little Rock,3025875,Apple Blossom
California,Sacramento,39562858,California Poppy
Colorado,Denver,5826185,White and Lavender Columbine
Connecticut,Hartford,3559054,Mountain Laurel
Delaware,Dover,982049,Peach Blossom
Florida,Tallahassee,21711157,Orange Blossom
Georgia,Atlanta,10723715,Cherokee Rose
Hawaii,Honolulu,1411151,Hibiscus 
Idaho,Boise,1823594,Syringa
Illinois,Springfield,12620571,Purple Violet
Indiana,Indianapolis,6768941,Peony
Iowa,Des Moines,3161522,Wild Prarie Rose
Kansas,Topeka,2915269,Sunflower
Kentucky,Frankfort,4474193,Goldenrod
Louisiana,Baton Rouge,4637898,Magnolia
Maine,Augusta,1349367,White Pine Cone and Tassel
Maryland,Annapolis,6055558,Black-Eyed Susan
Massachusetts,Boston,6902371,Mayflower
Michigan,Lansing,9989642,Apple Blossom
Minnesota,Saint Paul,5673015,Pink and White Lady Slipper
Mississippi,Jackson,2971278,Magnolia
Missouri,Jefferson City,6153233,White Hawthorn Blossom
Montana,Helena,1076891,Bitterroot
Nebraska,Lincoln,1943202,Goldenrod
Nevada,Carson City,3132971,Sagebrush
New Hampshire,Concord,1365957,Purple Liliac
New Jersey,Trenton,8878355,Violet
New Mexico,Santa Fe,2100917,Yucca Flower
New York,Albany,19376771,Rose
North Carolina,Raleigh,10594553,Dogwood
North Dakota,Columbus,766044,Scarlet Carnation
Ohio,Oklahoma City,11701859,Oregon Grape
Oklahoma,Salem,3973707,Mountain Laurel
Oregon,Harrisburg,4253588,Violet
Pennsylvania,Providence,12803056,Yellow Jessamine
Rhode Island,Columbia,1060435,Wild Prarie Rose
South Carolina,Bismark,5213272,Pasque Flower
South Dakota,Pierre,890620,Iris
Tennessee,Nashville,6886717,Bluebonnet 
Texas,Austin,29363096,Sego Lily
Utah,Salt Lake City,3258366,Iris
Vermont,Montpelier,623620,Red Clover
Virginia,Richmond,8569752,Dogwood
Washington,Olympia,7705917,Pink Rhododendron
West Virginia,Charleston,1780003,Rhododendron
Wisconsin,Madison,5837462,Wood Violet
Wyoming,Chyenne,1,Indian Paintbrush
